mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	4
1	1	1	1	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	1
1	1	2	2	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	5
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	6
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	12
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	13
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	9
2	2	6	6	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	47	B2	2	14
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	10
2	2	13/2	13/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		0	48	C3	3	15
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	16
2	2	7	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	11
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	19
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	17
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	20
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	18
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		1	43	G2	2	26
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	21
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	27
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	22
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	28
4	4	14	14	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	23
4	4	29/2	29/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	24
4	4	15	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	29
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	25
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	33
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	30
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	34
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	31
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	G2	2	35
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	32
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	40
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	36
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	41
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	37
6	6	23	23	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	48	C3	3	42
6	6	23	23	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	38
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	47	B2	2	43
6	6	47/2	47/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	39
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	48
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	44
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	49
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	45
7	7	26	26	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	48	C3	3	50
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	46
7	7	53/2	53/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	45	A2	2	51
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	52
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	47
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		3	45	A2	2	55
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	53
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	56
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	54
9	9	32	32	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	61
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	57
9	9	65/2	65/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	62
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	63
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	58
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	47	B2	2	64
