mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0				
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1				
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2				
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	3				
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4				
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5				
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	6				
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	7				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	8				
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9				
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11				
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	12				0
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	13				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	14				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	15				
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	16				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	18				
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	19				
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21				
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	22				
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	23				
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	24				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	25				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	26				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	27				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	28				
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	29				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	30				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	31				
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	33				
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	34				1
